epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,679.778,1.01925,0.86317,1.01178,0.74452,0.77387,0.82163,0.52958,1.08671,0.80011,1.0222,0.0009344,0.0009344,0.0009344
43,695.675,1.02925,0.8579,1.0112,0.77573,0.7714,0.83712,0.54302,1.06649,0.75631,1.01044,0.0009328,0.0009328,0.0009328
44,711.386,1.02555,0.87592,1.01167,0.75095,0.7738,0.82398,0.53173,1.07864,0.77448,1.01356,0.0009312,0.0009312,0.0009312
45,726.859,0.99872,0.84137,0.99703,0.79082,0.72906,0.81903,0.52788,1.08603,0.79647,1.03414,0.0009296,0.0009296,0.0009296
46,742.319,1.01438,0.85493,1.00455,0.75825,0.77707,0.83296,0.53519,1.07316,0.78345,1.02625,0.000928,0.000928,0.000928
47,757.788,1.01452,0.84793,0.99828,0.71926,0.76365,0.80617,0.52186,1.09014,0.81113,1.03801,0.0009264,0.0009264,0.0009264
48,773.23,1.00116,0.83136,1.00208,0.75552,0.74743,0.82221,0.53653,1.09221,0.78344,1.02979,0.0009248,0.0009248,0.0009248
49,788.739,0.99881,0.82322,1.00493,0.74453,0.78937,0.83716,0.53425,1.09748,0.77276,1.03586,0.0009232,0.0009232,0.0009232
50,804.395,0.97984,0.82116,0.99613,0.74367,0.7764,0.82811,0.53467,1.0847,0.77944,1.01981,0.0009216,0.0009216,0.0009216
51,819.821,1.0112,0.83832,1.0132,0.7304,0.75843,0.80777,0.52616,1.0797,0.82617,1.02721,0.00092,0.00092,0.00092
52,835.398,1.01213,0.82117,1.00306,0.76719,0.75368,0.82837,0.53561,1.08927,0.77968,1.02288,0.0009184,0.0009184,0.0009184
53,850.957,0.99283,0.80357,0.99705,0.79868,0.74119,0.82649,0.5298,1.08973,0.80794,1.04117,0.0009168,0.0009168,0.0009168
54,866.441,0.9836,0.79591,1.0052,0.7402,0.76763,0.82234,0.536,1.09096,0.78015,1.02708,0.0009152,0.0009152,0.0009152
55,882.01,0.98316,0.80612,0.99079,0.82233,0.73862,0.84084,0.54039,1.07561,0.74372,1.02059,0.0009136,0.0009136,0.0009136
56,897.548,1.01488,0.8107,1.00407,0.77055,0.76348,0.83662,0.54123,1.08137,0.7733,1.01784,0.000912,0.000912,0.000912
57,912.972,0.98684,0.79107,0.99658,0.71736,0.79227,0.82234,0.53517,1.08865,0.7764,1.0391,0.0009104,0.0009104,0.0009104
58,928.461,0.98499,0.78487,0.99479,0.76941,0.76615,0.83358,0.53865,1.07777,0.7601,1.02667,0.0009088,0.0009088,0.0009088
59,943.962,0.9868,0.78102,0.99664,0.77285,0.75009,0.82726,0.53467,1.07861,0.77811,1.03438,0.0009072,0.0009072,0.0009072
60,959.503,0.96735,0.76549,0.98607,0.78851,0.75294,0.84029,0.54272,1.0856,0.76435,1.02833,0.0009056,0.0009056,0.0009056
61,974.976,0.98237,0.78375,0.98874,0.79497,0.74619,0.83914,0.54117,1.08115,0.75953,1.02661,0.000904,0.000904,0.000904
62,990.452,0.97302,0.78428,0.9889,0.78745,0.75013,0.83484,0.54378,1.06936,0.74769,1.02141,0.0009024,0.0009024,0.0009024
63,1005.91,0.98398,0.76465,0.99516,0.78454,0.75445,0.83791,0.54738,1.06003,0.75615,1.01557,0.0009008,0.0009008,0.0009008
64,1021.4,0.98263,0.76701,0.99072,0.7525,0.79103,0.84047,0.54619,1.07687,0.74853,1.02885,0.0008992,0.0008992,0.0008992
65,1036.98,0.97369,0.75572,0.98832,0.81065,0.76427,0.85376,0.5614,1.07815,0.72932,1.02684,0.0008976,0.0008976,0.0008976
66,1052.55,0.94667,0.74984,0.97732,0.78736,0.73328,0.83926,0.54669,1.07056,0.74155,1.02409,0.000896,0.000896,0.000896
67,1068.02,0.95512,0.74389,0.98419,0.77549,0.76574,0.83812,0.54101,1.07101,0.75359,1.01784,0.0008944,0.0008944,0.0008944
68,1083.41,0.94819,0.74575,0.98064,0.77647,0.73957,0.82628,0.53806,1.08559,0.76288,1.02595,0.0008928,0.0008928,0.0008928
69,1098.93,0.95093,0.73122,0.98389,0.75429,0.78055,0.84444,0.54124,1.10543,0.73672,1.04501,0.0008912,0.0008912,0.0008912
70,1114.38,0.96054,0.74044,0.98658,0.78692,0.73456,0.84108,0.54355,1.09241,0.73772,1.03143,0.0008896,0.0008896,0.0008896
71,1129.94,0.9544,0.73221,0.98653,0.80136,0.7396,0.83969,0.54032,1.08346,0.74547,1.02362,0.000888,0.000888,0.000888
72,1145.51,0.94334,0.71445,0.97619,0.75,0.77934,0.83936,0.54042,1.07263,0.76079,1.02266,0.0008864,0.0008864,0.0008864
