epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3541.55,1.1936,0.94146,1.12479,0.73063,0.71253,0.76454,0.4722,1.18846,0.88007,1.06062,0.000990365,0.000990365,0.000990365
43,3619.45,1.19807,0.94421,1.1072,0.75188,0.71382,0.77536,0.4743,1.22692,0.87224,1.08286,0.000973861,0.000973861,0.000973861
44,3697.23,1.18432,0.92307,1.11442,0.72821,0.72519,0.78665,0.49453,1.16073,0.8463,1.05648,0.000957358,0.000957358,0.000957358
45,3796.01,1.1792,0.8966,1.10788,0.72526,0.73058,0.79082,0.50009,1.17134,0.82325,1.06303,0.000940855,0.000940855,0.000940855
46,3874.08,1.19925,0.91882,1.12361,0.74168,0.70956,0.78711,0.50048,1.1586,0.82649,1.05151,0.000924352,0.000924352,0.000924352
47,3951.82,1.16559,0.90428,1.11201,0.74019,0.71274,0.77783,0.47992,1.18695,0.83805,1.06525,0.000907848,0.000907848,0.000907848
48,4040.23,1.14935,0.89058,1.09151,0.76274,0.71505,0.80131,0.4987,1.17019,0.82076,1.04407,0.000891345,0.000891345,0.000891345
49,4118.07,1.1514,0.87962,1.09915,0.76002,0.73969,0.79229,0.49242,1.16705,0.82566,1.06616,0.000874842,0.000874842,0.000874842
50,4197.44,1.15361,0.88506,1.10255,0.72236,0.72126,0.78763,0.50144,1.13522,0.81447,1.04749,0.000858338,0.000858338,0.000858338
51,4287.29,1.14012,0.85237,1.08952,0.76141,0.73683,0.81393,0.5176,1.13095,0.79266,1.05333,0.000841835,0.000841835,0.000841835
52,4368.05,1.14568,0.8416,1.09624,0.74472,0.70275,0.78914,0.50476,1.1474,0.8072,1.04828,0.000825332,0.000825332,0.000825332
53,4445.86,1.13516,0.87136,1.09103,0.7476,0.72563,0.80522,0.50964,1.14984,0.79143,1.05737,0.000808828,0.000808828,0.000808828
54,4539.63,1.13243,0.8341,1.10751,0.7424,0.74043,0.80428,0.5048,1.16657,0.80517,1.05249,0.000792325,0.000792325,0.000792325
55,4618.25,1.1276,0.84699,1.08108,0.7845,0.70144,0.80804,0.51591,1.13959,0.78345,1.04871,0.000775822,0.000775822,0.000775822
56,4696.04,1.12892,0.83663,1.08616,0.74886,0.73624,0.80591,0.50616,1.14675,0.78832,1.05154,0.000759318,0.000759318,0.000759318
57,4796.47,1.1165,0.83391,1.08151,0.73751,0.74003,0.80787,0.52119,1.11868,0.78431,1.03913,0.000742815,0.000742815,0.000742815
58,4874.51,1.126,0.82466,1.08562,0.74659,0.74222,0.79353,0.50736,1.13537,0.79074,1.05362,0.000726312,0.000726312,0.000726312
59,4952.49,1.08629,0.80397,1.0584,0.7877,0.71857,0.81572,0.52858,1.0993,0.76884,1.03049,0.000709809,0.000709809,0.000709809
60,5043.37,1.09429,0.81873,1.07059,0.7713,0.71343,0.81215,0.52193,1.10279,0.78417,1.02709,0.000693305,0.000693305,0.000693305
61,5121.34,1.09151,0.80852,1.07439,0.78228,0.68293,0.80487,0.51588,1.12381,0.77256,1.03877,0.000676802,0.000676802,0.000676802
62,5199.15,1.09152,0.79255,1.07137,0.77039,0.72823,0.81434,0.53029,1.10264,0.76322,1.03482,0.000660299,0.000660299,0.000660299
63,5286.21,1.08637,0.79606,1.07202,0.77695,0.71453,0.8145,0.51598,1.12891,0.78474,1.03831,0.000643795,0.000643795,0.000643795
64,5364.23,1.08831,0.80449,1.07259,0.75579,0.75301,0.82394,0.53494,1.10157,0.75509,1.03169,0.000627292,0.000627292,0.000627292
65,5442.18,1.06782,0.78861,1.0606,0.77537,0.7497,0.82696,0.53322,1.10659,0.75633,1.03883,0.000610789,0.000610789,0.000610789
66,5531.72,1.07299,0.78688,1.05592,0.75162,0.77464,0.83088,0.53509,1.11246,0.73304,1.03283,0.000594286,0.000594286,0.000594286
67,5609.88,1.08344,0.78314,1.06811,0.7671,0.75311,0.82471,0.53709,1.09625,0.74372,1.03523,0.000577782,0.000577782,0.000577782
68,5687.91,1.07157,0.79021,1.06123,0.781,0.74418,0.82851,0.5352,1.08932,0.73831,1.02387,0.000561279,0.000561279,0.000561279
69,5774.96,1.08666,0.76838,1.06311,0.75748,0.75031,0.82063,0.53626,1.08438,0.76024,1.02474,0.000544776,0.000544776,0.000544776
70,5852.59,1.0527,0.76794,1.05213,0.80403,0.71693,0.82956,0.53964,1.07832,0.72531,1.0265,0.000528272,0.000528272,0.000528272
71,5930.52,1.05484,0.7631,1.0592,0.77404,0.73476,0.82264,0.54379,1.0704,0.73684,1.0266,0.000511769,0.000511769,0.000511769
72,6015.13,1.05651,0.74889,1.04419,0.77241,0.75583,0.82982,0.54356,1.09464,0.72656,1.03491,0.000495266,0.000495266,0.000495266
73,6093.23,1.05089,0.73325,1.05626,0.8063,0.72711,0.82961,0.53744,1.10336,0.7237,1.03612,0.000478762,0.000478762,0.000478762
74,6171.07,1.04746,0.75532,1.05547,0.78754,0.75158,0.83416,0.55052,1.06575,0.70485,1.01909,0.000462259,0.000462259,0.000462259
75,6267.27,1.03695,0.72905,1.03846,0.79387,0.74024,0.83158,0.55052,1.08556,0.72156,1.0215,0.000445756,0.000445756,0.000445756
76,6345.17,1.04708,0.74498,1.0523,0.7816,0.75157,0.83554,0.55398,1.07298,0.71777,1.02455,0.000429253,0.000429253,0.000429253
77,6423.12,1.02285,0.71181,1.04219,0.79708,0.74422,0.83821,0.55714,1.06751,0.69847,1.01996,0.000412749,0.000412749,0.000412749
78,6509.04,1.03821,0.72934,1.03976,0.76558,0.7582,0.83157,0.54648,1.08106,0.71801,1.03,0.000396246,0.000396246,0.000396246
79,6586.93,1.03617,0.73475,1.04053,0.76517,0.75578,0.82758,0.55163,1.06284,0.72182,1.02601,0.000379743,0.000379743,0.000379743
80,6664.61,1.01814,0.70777,1.03171,0.78071,0.76573,0.83832,0.55897,1.06027,0.70287,1.01362,0.000363239,0.000363239,0.000363239
81,6749.25,1.02093,0.71103,1.04119,0.79871,0.75305,0.83844,0.56051,1.05839,0.69682,1.01358,0.000346736,0.000346736,0.000346736
82,6827.24,1.0204,0.70785,1.03419,0.78073,0.76342,0.84084,0.55939,1.06731,0.68426,1.01798,0.000330233,0.000330233,0.000330233
83,6904.82,1.00609,0.7065,1.02935,0.75904,0.79093,0.84024,0.55947,1.06441,0.68715,1.01584,0.000313729,0.000313729,0.000313729
84,6989.08,1.00609,0.70099,1.03598,0.79989,0.76147,0.84094,0.55616,1.07426,0.68735,1.0215,0.000297226,0.000297226,0.000297226
85,7067.08,1.004,0.69412,1.03236,0.77731,0.77241,0.8408,0.55927,1.06069,0.70066,1.01503,0.000280723,0.000280723,0.000280723
86,7144.75,0.9905,0.67213,1.02581,0.79622,0.7578,0.8419,0.56528,1.061,0.68605,1.01395,0.00026422,0.00026422,0.00026422
87,7229.43,0.97657,0.67236,1.01736,0.78435,0.75413,0.83624,0.55737,1.05262,0.69211,1.01286,0.000247716,0.000247716,0.000247716
88,7307.35,0.9887,0.68443,1.0223,0.77861,0.76315,0.84115,0.56378,1.05766,0.70045,1.01687,0.000231213,0.000231213,0.000231213
89,7385.06,0.96764,0.68006,1.01406,0.80539,0.74903,0.84626,0.56379,1.05965,0.67355,1.01446,0.00021471,0.00021471,0.00021471
90,7469.61,0.96813,0.65648,1.0137,0.79834,0.75826,0.84212,0.56196,1.05302,0.68882,1.01275,0.000198206,0.000198206,0.000198206
91,7609.16,0.92586,0.58194,0.97354,0.81282,0.72706,0.83449,0.55774,1.06163,0.69776,1.01697,0.000181703,0.000181703,0.000181703
92,7687.01,0.91216,0.57196,0.96933,0.79472,0.74985,0.8322,0.55782,1.0515,0.68517,1.01704,0.0001652,0.0001652,0.0001652
93,7771.55,0.90969,0.5682,0.96821,0.80101,0.74657,0.83549,0.5587,1.05799,0.68275,1.01914,0.000148696,0.000148696,0.000148696
94,7849.3,0.89137,0.55179,0.95238,0.7792,0.75735,0.83336,0.56015,1.05629,0.68108,1.01473,0.000132193,0.000132193,0.000132193
95,7926.97,0.90425,0.56168,0.95637,0.79879,0.7488,0.83935,0.56713,1.051,0.67281,1.01408,0.00011569,0.00011569,0.00011569
96,8011.55,0.88321,0.54292,0.95946,0.81103,0.73037,0.83325,0.56009,1.04951,0.67781,1.01162,9.91865e-05,9.91865e-05,9.91865e-05
97,8089.12,0.88594,0.53445,0.95601,0.80342,0.74526,0.83515,0.56361,1.04849,0.67604,1.00911,8.26832e-05,8.26832e-05,8.26832e-05
98,8166.86,0.8693,0.53766,0.95598,0.79925,0.74664,0.83958,0.5662,1.04214,0.6697,1.01172,6.61799e-05,6.61799e-05,6.61799e-05
99,8255.81,0.88192,0.54038,0.96191,0.79262,0.76263,0.84133,0.57008,1.04175,0.66917,1.01126,4.96766e-05,4.96766e-05,4.96766e-05
100,8333.83,0.88215,0.52959,0.95683,0.78925,0.76136,0.84031,0.56996,1.03948,0.67078,1.00767,3.31733e-05,3.31733e-05,3.31733e-05
