epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,584.744,1.4011,1.32078,1.38333,0.64339,0.68351,0.69089,0.38448,1.43807,1.29804,1.53034,0.007624,0.007624,0.007624
26,607.16,1.38226,1.28863,1.36445,0.61568,0.70235,0.68936,0.40208,1.36987,1.23133,1.47876,0.007525,0.007525,0.007525
27,629.727,1.39188,1.27593,1.34411,0.6623,0.67245,0.71665,0.42492,1.336,1.23666,1.45918,0.007426,0.007426,0.007426
28,652.29,1.41023,1.29597,1.3717,0.66361,0.71169,0.72402,0.41135,1.32861,1.24235,1.43692,0.007327,0.007327,0.007327
29,674.855,1.34988,1.27271,1.35502,0.73077,0.7121,0.76875,0.44919,1.34197,1.1261,1.47742,0.007228,0.007228,0.007228
30,697.03,1.39594,1.27652,1.38001,0.54779,0.60127,0.55535,0.28396,1.65236,1.35384,1.6482,0.007129,0.007129,0.007129
31,719.387,1.40599,1.28099,1.36918,0.67162,0.73356,0.77459,0.46367,1.26022,1.08732,1.39931,0.00703,0.00703,0.00703
32,741.238,1.35343,1.24975,1.35601,0.71904,0.64795,0.71388,0.40342,1.45489,1.22051,1.54766,0.006931,0.006931,0.006931
33,763.805,1.36406,1.26439,1.34879,0.70612,0.65957,0.75234,0.43153,1.32969,1.19808,1.46257,0.006832,0.006832,0.006832
34,786.202,1.38441,1.2378,1.36077,0.77624,0.71521,0.80224,0.48428,1.29386,1.02824,1.41601,0.006733,0.006733,0.006733
35,808.767,1.35274,1.21708,1.33817,0.646,0.65359,0.69587,0.39903,1.41272,1.16913,1.50909,0.006634,0.006634,0.006634
36,830.621,1.34963,1.1913,1.33825,0.59606,0.57493,0.58522,0.32984,1.55622,1.48838,1.66696,0.006535,0.006535,0.006535
37,853.064,1.33368,1.18445,1.33856,0.67174,0.73115,0.74763,0.43779,1.28311,1.1984,1.43493,0.006436,0.006436,0.006436
38,875.552,1.36361,1.2329,1.34365,0.66832,0.70596,0.71168,0.40348,1.36778,1.20533,1.49664,0.006337,0.006337,0.006337
39,897.473,1.36346,1.21592,1.36869,0.71117,0.71465,0.77584,0.48194,1.2489,1.08452,1.40889,0.006238,0.006238,0.006238
40,918.396,1.32056,1.16689,1.32246,0.73873,0.70847,0.77378,0.4412,1.39902,1.11956,1.46662,0.006139,0.006139,0.006139
41,939.615,1.31651,1.1804,1.33513,0.63615,0.66719,0.68784,0.38578,1.53786,1.2037,1.57771,0.00604,0.00604,0.00604
42,960.572,1.30317,1.11712,1.33254,0.46831,0.46125,0.43087,0.20753,1.95933,1.94554,2.05232,0.005941,0.005941,0.005941
43,981.461,1.32618,1.14466,1.3151,0.73509,0.69447,0.75651,0.46096,1.21069,1.06029,1.38166,0.005842,0.005842,0.005842
44,1002.35,1.2969,1.13942,1.31395,0.78182,0.70328,0.80105,0.50944,1.18102,1.07842,1.34867,0.005743,0.005743,0.005743
45,1023.17,1.31505,1.15674,1.32808,0.61965,0.74147,0.73741,0.41779,1.36875,1.14369,1.46226,0.005644,0.005644,0.005644
46,1044.36,1.28787,1.10991,1.29355,0.75055,0.77431,0.79924,0.49281,1.24904,1.00887,1.40986,0.005545,0.005545,0.005545
47,1065.68,1.30523,1.14285,1.30162,0.75184,0.77186,0.80182,0.4742,1.29053,0.95202,1.40847,0.005446,0.005446,0.005446
